Player,Nation_std,Pos_std,Squad_std,Born_std,Playing Time_MP_std,Playing Time_Starts,Playing Time_Min_std,Playing Time_90s_std,Performance_Gls,Performance_G-PK,Performance_PK,Performance_PKatt,Per 90 Minutes_Gls,Per 90 Minutes_G-PK,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s_match,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off
Mohamadaziz Abdelhadi,de GER,MF,Wehen Wiesbaden,2006,15,8,925,10.3,0,0,0,0,0.00,0.00,62,36.7,10.3,8,89,7,7,31,1,1.13,15,20,-5,-0.49,-0.15
Lirjon Abdullahu,xk KVX,FW,Stuttgarter Kickers,2008,2,0,63,0.7,0,0,0,0,0.00,0.00,32,2.5,0.7,0,,0,2,32,0,0.00,0,5,-5,-7.14,-7.55
Thierry Abessouguie,de GER,FW,Viktoria Köln,2007,23,14,1395,15.5,3,3,0,0,0.19,0.19,61,55.4,15.5,14,86,10,9,22,0,1.61,34,30,+4,+0.26,-0.30
Ryan Acar,de GER,DF,Osnabrück,2006,23,23,1889,21.0,0,0,0,0,0.00,0.00,82,80.7,21.0,23,82,11,0,,0,0.87,21,41,-20,-0.95,-1.15
Samet Acar,de GER,DF,Kaiserslautern,2008,1,0,36,0.4,0,0,0,0,0.00,0.00,36,1.4,0.4,0,,0,1,36,1,0.00,0,0,0,0.00,-1.12
Erdem Açıkgöz,de GER,MF,Meerbusch,2007,4,3,218,2.4,0,0,0,0,0.00,0.00,55,8.7,2.4,3,69,1,1,11,0,0.75,3,8,-5,-2.06,-0.70
George Acurero,us USA,FW,Rot-Weiss Essen,2006,10,8,675,7.5,3,3,0,0,0.40,0.40,68,28.8,7.5,8,76,5,2,32,0,0.70,11,16,-5,-0.67,-0.29
Nico Adamczyk,pl POL,DF,Dortmund,2006,10,6,538,6.0,0,0,0,0,0.00,0.00,54,24.9,6.0,6,77,3,4,20,3,1.92,13,8,+5,+0.84,-1.60
Fotios Adamidis,de GER,GK,MSV Duisburg,2006,21,21,1890,21.0,0,0,0,0,0.00,0.00,90,80.8,21.0,21,90,21,0,,1,0.81,19,50,-31,-1.48,-1.68
Jeremy Ade,de GER,DF,Hamburger SV,2007,12,4,401,4.5,0,0,0,0,0.00,0.00,33,18.6,4.5,4,66,0,8,17,0,1.23,6,10,-4,-0.90,-1.15
Wesley Adeh,de GER,MF,Werder Bremen,2007,21,21,1843,20.5,7,7,0,0,0.34,0.34,88,85.3,20.5,21,88,18,0,,0,1.83,42,27,+15,+0.73,-1.54
Noah Adekunle,de GER,DF,Hamburger SV,2007,6,3,259,2.9,0,0,0,0,0.00,0.00,43,12.0,2.9,3,60,1,3,26,0,1.88,7,9,-2,-0.69,-0.84
Faton Ademi,xk KVX,FW,Alemannia Aachen,2006,16,16,1430,15.9,3,2,1,1,0.19,0.13,89,56.7,15.9,16,89,15,0,,0,1.00,15,31,-16,-1.01,-1.67
Olufemi Adesiyan,de GER,MF,Union Berlin,2008,10,8,787,8.7,2,2,0,0,0.23,0.23,79,36.4,8.7,8,89,7,2,39,0,1.10,13,23,-10,-1.14,-1.73
Joel Adilji,de GER,FW,Unterhaching,2007,21,5,748,8.3,5,5,0,0,0.60,0.60,36,34.6,8.3,5,74,3,16,24,0,1.71,17,18,-1,-0.12,-0.31
Milo Adleff,de GER,MF,Augsburg,2008,3,1,189,2.1,0,0,0,0,0.00,0.00,63,8.1,2.1,1,90,1,2,50,0,2.00,6,2,+4,+1.90,+0.90
Bismark Adomah,fr FRA,FW,Freiburg,2007,15,11,913,10.1,3,3,0,0,0.30,0.30,61,39.0,10.1,11,73,4,4,27,0,1.27,26,18,+8,+0.79,+0.35
Justin Adozi,de GER,FW,Sportfreunde Siegen,2006,14,14,1210,13.4,7,7,0,0,0.52,0.52,86,96.0,13.4,14,86,9,0,,0,1.36,29,40,-11,-0.82,+2.78
Max Adrian,de GER,DF,Magdeburg,2007,19,17,1470,16.3,5,5,0,0,0.31,0.31,77,62.8,16.3,17,81,8,2,44,0,1.47,45,37,+8,+0.49,-1.58
Din Adrović,de GER,DF,Sportfreunde Siegen,2007,8,0,88,1.0,0,0,0,0,0.00,0.00,11,7.0,1.0,0,,0,8,11,4,1.50,4,6,-2,-2.05,-1.20
Karim Affo,de GER,FW,Düsseldorf,2006,15,15,1192,13.2,13,13,0,0,0.98,0.98,79,55.2,13.2,15,79,4,0,,0,2.00,29,11,+18,+1.36,+1.08
Samir Affo,de GER,MF,Düsseldorf,2008,1,1,72,0.8,0,0,0,0,0.00,0.00,72,3.3,0.8,1,72,0,0,,3,0.00,1,2,-1,-1.25,-2.20
Bellal Afghanyar,de GER,MF,Arminia,2007,16,5,620,6.9,1,1,0,0,0.15,0.15,39,24.6,6.9,5,82,3,11,19,7,1.56,22,12,+10,+1.45,+1.07
Lennox Afolabi,de GER,DF,Arminia,2006,23,19,1693,18.8,12,12,0,0,0.64,0.64,74,67.2,18.8,19,84,12,4,26,0,1.61,47,30,+17,+0.90,+0.79
Maik Afri Akumu,de GER,FW,Hertha BSC,2008,3,3,213,2.4,1,1,0,0,0.42,0.42,71,9.9,2.4,3,71,0,0,,0,2.33,7,4,+3,+1.27,+2.01
Mehmet Afsar,de GER,MF,Kickers Offenbach,2006,22,21,1889,21.0,2,2,0,0,0.10,0.10,86,75.0,21.0,21,89,20,1,28,0,0.59,28,60,-32,-1.52,-0.95
Stancy Aganmwonyi,de GER,DF,Magdeburg,2008,12,10,773,8.6,0,0,0,0,0.00,0.00,64,33.0,8.6,10,74,7,2,19,2,2.25,36,18,+18,+2.10,+1.52
Sevhat Agbaba,de GER,FW,SV Babelsberg 03,2007,4,2,153,1.7,0,0,0,0,0.00,0.00,38,14.2,1.7,2,68,1,2,9,2,1.00,1,3,-2,-1.18,-0.98
Destiny Agbai,de GER,FW,SV Babelsberg 03,2007,10,5,423,4.7,3,3,0,0,0.64,0.64,42,39.2,4.7,5,57,0,5,28,0,1.10,12,5,+7,+1.49,+3.00
Cihan Agirayak,de GER,MF,Paderborn 07,2007,22,17,1364,15.2,2,2,0,0,0.13,0.13,62,58.3,15.2,17,72,6,5,29,3,1.86,36,23,+13,+0.86,-0.34
Prince Agyemang,de GER,FW,Bochum,2007,5,1,121,1.3,0,0,0,0,0.00,0.00,24,5.6,1.3,1,45,0,4,19,6,2.40,7,3,+4,+2.98,+1.21
Emirhan Agzikara,,DF,Stuttgart,2007,14,10,890,9.9,3,3,0,0,0.30,0.30,64,41.2,9.9,10,79,5,4,25,1,2.00,32,13,+19,+1.92,+0.36
Louis Ahenkora,de GER,FW,Hannover 96,2006,11,1,280,3.1,2,2,0,0,0.64,0.64,25,13.0,3.1,1,69,0,10,21,1,1.64,6,8,-2,-0.64,-1.27
Romin Ahmadi,de GER,FW,SV Gonsenheim,2006,7,2,219,2.4,0,0,0,0,0.00,0.00,31,20.3,2.4,2,64,0,5,18,0,0.57,5,6,-1,-0.41,+2.10
Valon Ahmedi,de GER,MF,Preußen Münster,2007,10,0,159,1.8,0,0,0,0,0.00,0.00,16,6.3,1.8,0,,0,10,16,8,1.30,2,6,-4,-2.26,-1.58
Yannis Ahouannou,de GER,DF,Eintracht Frankfurt,2008,1,1,83,0.9,0,0,0,0,0.00,0.00,83,3.8,0.9,1,83,0,0,,0,0.00,1,3,-2,-2.17,-3.56
Hannes Ahrens,de GER,MF,Blumenthaler,2006,3,2,175,1.9,0,0,0,0,0.00,0.00,58,16.2,1.9,2,82,0,1,12,0,2.00,4,3,+1,+0.51,-0.28
Jonas Ahrens,de GER,MF,Holstein Kiel,2008,1,0,6,0.1,0,0,0,0,0.00,0.00,6,0.3,0.1,0,,0,1,6,0,0.00,0,0,0,0.00,+1.40
Jonathan Akaegbobi,de GER,FW,Wolfsburg,2006,16,15,1135,12.6,7,3,4,4,0.56,0.24,71,52.5,12.6,15,73,1,1,45,0,1.81,23,15,+8,+0.63,-0.33
Evren Akahiskali,de GER,FW,Elversberg,2006,19,16,1441,16.0,4,4,0,0,0.25,0.25,76,57.2,16.0,16,82,10,3,42,0,0.84,21,42,-21,-1.31,-0.23
Can Akbas,de GER,FW,Osnabrück,2007,22,9,974,10.8,0,0,0,0,0.00,0.00,44,41.6,10.8,9,82,4,13,18,0,1.05,17,18,-1,-0.09,+1.09
Yunus Akdağ,de GER,DF,Blumenthaler,2006,11,8,769,8.5,1,1,0,0,0.12,0.12,70,71.2,8.5,8,90,8,3,16,0,2.18,15,10,+5,+0.59,-0.57
Mahmud Akgün,de GER,DF,Nürnberg,2007,7,6,508,5.6,0,0,0,0,0.00,0.00,73,21.7,5.6,6,83,5,1,13,2,2.71,26,9,+17,+3.01,+2.91
Mohamed Akhouji,de GER,DF,FSV Frankfurt,2007,25,22,1863,20.7,1,1,0,0,0.05,0.05,75,73.9,20.7,22,81,11,3,27,0,1.76,36,29,+7,+0.34,+0.75
Hamza Akkour,de GER,DF,SV Gonsenheim,2007,3,0,21,0.2,0,0,0,0,0.00,0.00,7,1.9,0.2,0,,0,3,7,0,1.00,2,0,+2,+8.57,+10.87
Theophilus Akoto,de GER,FW,Wehen Wiesbaden,2007,26,21,1804,20.0,10,10,0,0,0.50,0.50,69,71.6,20.0,21,79,11,5,31,0,1.12,37,44,-7,-0.35,+0.15
Arda Aksac,de GER,MF,BTSV,2007,25,24,1816,20.2,7,6,1,1,0.35,0.30,73,77.6,20.2,24,74,9,1,29,0,1.24,45,50,-5,-0.25,+0.61
Liam Akyıldız,de GER,FW,Hamburger SV,2008,1,0,8,0.1,0,0,0,0,0.00,0.00,8,0.4,0.1,0,,0,1,8,0,1.00,0,0,0,0.00,-0.04
Aziz Alagi,de GER,DF,Sandhausen,2006,22,22,1980,22.0,3,1,2,2,0.14,0.05,90,84.6,22.0,22,90,22,0,,2,1.41,47,39,+8,+0.36,+1.36
Kerim Alajbegović,ba BIH,FW,Leverkusen,2007,20,18,1529,17.0,11,9,2,2,0.65,0.53,76,70.8,17.0,18,82,5,2,26,0,2.08,42,23,+19,+1.12,+0.55
Alan Alaliko,de GER,FW,Elversberg,2007,15,3,323,3.6,0,0,0,0,0.00,0.00,22,12.8,3.6,3,38,0,12,17,1,0.80,2,11,-9,-2.51,-1.48
Anas Alaoui,ma MAR,FW,Eintracht Frankfurt,2006,4,4,335,3.7,7,5,2,2,1.88,1.34,84,15.5,3.7,4,84,2,0,,0,2.67,14,2,+12,+3.22,+2.34
Felix Albers,de GER,MF,Viktoria Köln,2007,26,23,1851,20.6,1,1,0,0,0.05,0.05,71,73.5,20.6,23,77,6,3,26,1,1.62,41,32,+9,+0.44,+0.17
Mathis Albert,us USA,FW,Dortmund,2009,16,12,1043,11.6,6,5,1,1,0.52,0.43,65,48.3,11.6,12,74,5,4,40,0,1.83,25,14,+11,+0.95,-2.11
Fabian Albrecht,de GER,DF,Osnabrück,2007,17,11,951,10.6,0,0,0,0,0.00,0.00,56,40.6,10.6,11,75,5,6,21,2,0.76,11,21,-10,-0.95,-0.36
Felix Albrecht,de GER,DF,Jahn Regensburg,2006,14,11,938,10.4,2,2,0,0,0.19,0.19,67,40.1,10.4,11,78,6,3,28,0,0.29,13,35,-22,-2.11,-1.15
Nico Albrecht,de GER,DF,Stuttgarter Kickers,2006,26,23,2059,22.9,0,0,0,0,0.00,0.00,79,81.7,22.9,23,87,18,3,22,0,1.62,48,39,+9,+0.39,+0.98
Alon Albus,de GER,GK,SV Gonsenheim,2006,1,1,90,1.0,0,0,0,0,0.00,0.00,90,8.3,1.0,1,90,1,0,,8,0.00,0,5,-5,-5.00,-3.18
Leonardo Alcazar,de GER,MF,Kickers Offenbach,2007,10,10,850,9.4,0,0,0,0,0.00,0.00,85,33.7,9.4,10,85,8,0,,0,1.00,19,21,-2,-0.21,+1.62
Hüseyin Aldemir,de GER,FW,Rot-Weiß Oberhausen,2006,11,11,945,10.5,0,0,0,0,0.00,0.00,86,87.5,10.5,11,86,10,0,,0,1.45,15,16,-1,-0.10,+0.57
Xie Alexander,cn CHN,MF,Stuttgart,2007,13,0,251,2.8,0,0,0,0,0.00,0.00,19,11.6,2.8,0,,0,13,19,0,2.07,6,3,+3,+1.08,-0.72
Odey Alfashtaki,sy SYR,MF,Saarbrücken,2009,1,0,19,0.2,0,0,0,0,0.00,0.00,19,0.8,0.2,0,,0,1,19,3,3.00,0,0,0,0.00,+2.34
Antonino Aliberto,xk KVX,DF,Karlsruher,1997,21,19,1544,17.2,0,0,0,0,0.00,0.00,74,71.5,17.2,19,78,9,2,29,0,2.41,46,12,+34,+1.98,+0.52
Witalij Alimov,de GER,FW,St Pauli,2006,5,3,287,3.2,0,0,0,0,0.00,0.00,57,12.3,3.2,3,84,2,2,17,1,1.00,5,8,-3,-0.94,-0.94
Florent Aliqki,de GER,FW,Heidenheim,2006,15,11,854,9.5,2,2,0,0,0.21,0.21,57,39.5,9.5,11,66,0,4,31,0,1.73,19,15,+4,+0.42,+0.15
Musa Alkan,de GER,MF,Union Berlin,2007,18,9,945,10.5,5,5,0,0,0.48,0.48,53,43.8,10.5,9,76,3,9,29,0,1.61,22,23,-1,-0.10,-0.10
Leon Alpsoy,de GER,MF,Eintracht Norderstedt,2006,10,9,735,8.2,0,0,0,0,0.00,0.00,74,68.1,8.2,9,79,3,1,24,0,1.00,15,18,-3,-0.37,+3.02
Felix Alschner,de GER,MF,Dresden,2007,23,21,1823,20.3,0,0,0,0,0.00,0.00,79,77.9,20.3,21,85,17,2,17,2,1.52,43,31,+12,+0.59,-1.84
Ali Altay,de GER,FW,Paderborn 07,2007,25,12,1265,14.1,6,6,0,0,0.43,0.43,51,54.1,14.1,12,68,3,13,35,0,1.72,32,17,+15,+1.07,+0.15
Berkay Altay,de GER,MF,Wehen Wiesbaden,2007,19,15,1137,12.6,0,0,0,0,0.00,0.00,60,45.1,12.6,15,70,6,4,22,1,1.26,25,21,+4,+0.32,+1.29
Enes Altay,de GER,FW,Ulm,2007,19,7,684,7.6,2,2,0,0,0.26,0.26,36,29.2,7.6,7,52,0,12,27,3,0.74,10,28,-18,-2.37,-1.93
Samuel Althaus,ch SUI,MF,1860 Munich,2006,20,20,1680,18.7,6,4,2,2,0.32,0.21,84,77.8,18.7,20,84,12,0,,0,1.25,36,39,-3,-0.16,-1.10
Lennard Altreuther,de GER,MF,TuS Königsdorf,2006,9,6,530,5.9,0,0,0,0,0.00,0.00,59,42.1,5.9,6,71,2,3,34,0,0.89,9,13,-4,-0.68,+1.05
Radin Amadou,de GER,FW,Blumenthaler,2006,12,11,922,10.2,5,4,1,1,0.49,0.39,77,85.4,10.2,11,81,1,1,33,0,2.08,17,8,+9,+0.88,+0.88
Aron Amaglo,de GER,MF,St Pauli,2009,11,11,936,10.4,0,0,0,0,0.00,0.00,85,40.0,10.4,11,85,8,0,,0,1.36,15,17,-2,-0.19,-0.13
Marces Amaniampong,de GER,DF,St Pauli,2007,15,8,791,8.8,0,0,0,0,0.00,0.00,53,33.8,8.8,8,75,2,7,27,1,1.00,18,20,-2,-0.23,-0.17
Gedeon Ambrosio,de GER,FW,Ingolstadt,2006,13,10,812,9.0,2,2,0,0,0.22,0.22,62,34.7,9.0,10,74,2,3,24,0,1.85,25,14,+11,+1.22,+0.81
Deyan Ameen,de GER,MF,Berliner AK,2007,8,2,306,3.4,2,2,0,0,0.59,0.59,38,13.1,3.4,2,56,0,6,33,0,2.38,15,3,+12,+3.53,+3.93
Jul Amin Bouakran,de GER,GK,Hennef,,1,1,90,1.0,0,0,0,0,0.00,0.00,90,3.8,1.0,1,90,1,0,,7,1.00,1,1,0,0.00,+1.32
Nima Amiri,af AFG,FW,Rot-Weiß Erfurt,2006,14,6,723,8.0,1,1,0,0,0.12,0.12,52,30.9,8.0,6,82,3,8,29,0,0.29,5,29,-24,-2.99,-0.48
Gabriel Amisso,de GER,MF,Viktoria Köln,2007,14,2,420,4.7,4,4,0,0,0.86,0.86,30,16.7,4.7,2,65,0,12,24,0,1.93,11,14,-3,-0.64,-1.24
Gabriel Amisso,de GER,MF,Viktoria Köln,2007,14,2,420,4.7,4,4,0,0,0.86,0.86,,,,0,,0,0,,1,,,,,,
Finn Ammann,de GER,DF,Kaiserslautern,2007,28,28,2413,26.8,1,1,0,0,0.04,0.04,86,95.8,26.8,28,86,22,0,,0,2.00,68,38,+30,+1.12,+0.28
Amer Ammar,de GER,DF,Dresden,2007,2,1,87,1.0,0,0,0,0,0.00,0.00,44,3.7,1.0,1,74,0,1,13,7,1.50,3,3,0,0.00,-1.04
Zaid Amoussou-Tchibara,de GER,FW,Schalke 04,2006,14,14,1236,13.7,17,12,5,5,1.24,0.87,88,57.2,13.7,14,88,9,0,,0,2.29,40,17,+23,+1.67,+0.70
Ilias El Amrani,de GER,MF,Rot-Weiß Oberhausen,2006,7,7,587,6.5,1,1,0,0,0.15,0.15,84,54.4,6.5,7,84,3,0,,0,1.86,11,7,+4,+0.61,+1.71
Arian Amyn,de GER,MF,Alemannia Aachen,2006,26,23,1923,21.4,4,4,0,0,0.19,0.19,74,76.3,21.4,23,80,7,3,31,0,1.38,29,31,-2,-0.09,+0.81
Jesse Anafi,de GER,FW,Rot-Weiß Walldorf,2006,4,2,156,1.7,0,0,0,0,0.00,0.00,39,14.4,1.7,2,70,0,2,8,0,0.75,2,10,-8,-4.62,-4.03
Stefan Andrić,rs SRB,MF,Hennef,2007,12,9,748,8.3,0,0,0,0,0.00,0.00,62,32.0,8.3,9,78,6,3,15,0,0.83,11,20,-9,-1.08,+0.27
Mathys Angély,fr FRA,DF,Wolfsburg,2007,5,5,404,4.5,0,0,0,0,0.00,0.00,81,18.7,4.5,5,81,3,0,,0,2.00,12,8,+4,+0.89,+0.12
Bernard Angong,gh GHA,FW,Sportfreunde Siegen,2006,8,6,481,5.3,2,2,0,0,0.37,0.37,60,38.2,5.3,6,71,1,2,28,2,1.88,10,9,+1,+0.19,+1.80
Zakaria Anhari,de GER,MF,MSV Duisburg,2006,3,2,140,1.6,0,0,0,0,0.00,0.00,47,6.0,1.6,2,68,1,1,5,0,0.00,0,6,-6,-3.86,-2.88
Takang Anubodem,de GER,DF,Bochum,2006,12,4,391,4.3,0,0,0,0,0.00,0.00,33,18.1,4.3,4,62,1,8,18,4,2.17,10,9,+1,+0.23,-1.96
Brian Appiah,de GER,DF,Eintracht Norderstedt,2006,12,12,1047,11.6,0,0,0,0,0.00,0.00,87,96.9,11.6,12,87,10,0,,0,0.83,23,37,-14,-1.20,+4.25
Houssam Arbei,de GER,MF,Karlsruher,2006,23,19,1653,18.4,4,4,0,0,0.22,0.22,72,76.5,18.4,19,83,13,4,18,0,2.25,44,14,+30,+1.63,-0.85
Elias Arden,de GER,MF,Düsseldorf,2008,11,5,470,5.2,0,0,0,0,0.00,0.00,43,21.8,5.2,5,80,3,6,12,2,1.33,11,4,+7,+1.34,+0.59
Jaden Asamoah,de GER,FW,Meerbusch,2007,21,16,1280,14.2,1,1,0,0,0.07,0.07,61,50.8,14.2,16,71,2,5,30,0,0.57,16,30,-14,-0.98,+0.90
Arda Asan,de GER,FW,Sportfreunde Siegen,2007,1,0,10,0.1,0,0,0,0,0.00,0.00,10,0.8,0.1,0,,0,1,10,1,0.00,0,1,-1,-9.00,-8.14
Levis Asanji,de GER,FW,Union Berlin,2006,11,11,888,9.9,7,6,1,1,0.71,0.61,81,41.1,9.9,11,81,3,0,,0,1.82,23,14,+9,+0.91,+1.62
Julius Aschmann,de GER,DF,Ulm,2006,20,19,1673,18.6,0,0,0,0,0.00,0.00,84,71.5,18.6,19,87,15,1,19,0,1.00,27,54,-27,-1.45,-1.59
Joel Aseidu,de GER,DF,St Pauli,2007,21,17,1500,16.7,0,0,0,0,0.00,0.00,71,64.1,16.7,17,85,14,4,16,4,1.29,29,31,-2,-0.12,-0.01
Daniel Aserov,de GER,FW,Meerbusch,2006,19,12,1137,12.6,4,4,0,0,0.32,0.32,60,45.1,12.6,12,75,3,7,34,0,0.84,19,38,-19,-1.50,-0.14
Burak Asik,de GER,MF,Holstein Kiel,2007,23,10,1030,11.4,0,0,0,0,0.00,0.00,45,45.8,11.4,10,78,4,13,19,0,0.83,13,38,-25,-2.18,-1.45
Berkay Aslan,tr TUR,MF,Augsburg,2007,25,22,1804,20.0,11,11,0,0,0.55,0.55,72,77.1,20.0,22,79,8,3,26,0,1.76,53,36,+17,+0.85,-1.00
Elijas Aslanidis,de GER,MF,Wolfsburg,2006,1,0,26,0.3,0,0,0,0,0.00,0.00,26,1.2,0.3,0,,0,1,26,0,0.00,0,0,0,0.00,-0.80
Emmanuel Asoegwu,de GER,FW,Ingolstadt,2006,13,2,372,4.1,1,1,0,0,0.24,0.24,29,15.9,4.1,2,57,0,11,23,0,1.85,5,5,0,0.00,-0.82
Jonathan Asp Jensen,dk DEN,MF,Bayern Munich,2006,1,1,59,0.7,0,0,0,0,0.00,0.00,59,2.7,0.7,1,59,0,0,,0,3.00,1,0,+1,+1.53,-0.10
Ayoub Assameur,de GER,MF,Holstein Kiel,2006,22,15,1283,14.3,1,1,0,0,0.07,0.07,58,57.0,14.3,15,76,3,7,21,1,0.77,17,36,-19,-1.33,+0.16
Bryan Atchoffo,de GER,GK,Ingolstadt,2007,4,4,360,4.0,0,0,0,0,0.00,0.00,90,15.4,4.0,4,90,4,0,,14,2.25,11,7,+4,+1.00,+0.36
Junior Atemkeng,de GER,DF,Freiburg,2006,12,11,1035,11.5,0,0,0,0,0.00,0.00,86,44.2,11.5,11,90,11,1,45,0,1.58,21,21,0,0.00,-1.03
Yusuf Ates,de GER,MF,FSV Frankfurt,2006,24,22,1974,21.9,0,0,0,0,0.00,0.00,82,78.3,21.9,22,86,16,2,42,0,1.83,35,34,+1,+0.05,-0.45
Ibrahim Ati Allah,de GER,MF,Wehen Wiesbaden,2007,27,27,2378,26.4,11,8,3,3,0.42,0.30,88,94.4,26.4,27,88,24,0,,0,1.19,47,58,-11,-0.42,-0.42
Marouan Attia,ma MAR,FW,SV Gonsenheim,2008,1,0,25,0.3,1,1,0,0,3.60,3.60,25,2.3,0.3,0,,0,1,25,0,0.00,1,1,0,0.00,+2.13
Emil Aumann,de GER,GK,Darmstadt 98,2007,2,2,180,2.0,0,0,0,0,0.00,0.00,90,7.7,2.0,2,90,2,0,,15,1.50,4,4,0,0.00,+0.58
Edvard Avagyan,de GER,FW,Nürnberg,1996,9,8,642,7.1,4,4,0,0,0.56,0.56,71,27.4,7.1,8,78,3,1,16,0,1.67,15,8,+7,+0.98,+0.35
Din Avdić,ba BIH,FW,1860 Munich,2006,9,1,159,1.8,0,0,0,0,0.00,0.00,18,7.4,1.8,1,45,0,8,14,1,1.78,6,7,-1,-0.57,-0.70
Mehmet Avlayici,de GER,MF,Heidenheim,2006,24,24,2124,23.6,3,3,0,0,0.13,0.13,89,98.3,23.6,24,89,21,0,,0,1.58,52,44,+8,+0.34,+0.34
Benjamin Avzii,de GER,MF,Viktoria Köln,2007,27,16,1307,14.5,6,6,0,0,0.41,0.41,48,51.9,14.5,16,68,2,11,20,0,1.67,33,26,+7,+0.48,+0.19
Abdel-Haq Awali,de GER,MF,BTSV,2009,7,7,553,6.1,1,1,0,0,0.16,0.16,79,23.6,6.1,7,79,3,0,,0,1.14,12,12,0,0.00,+0.50
Joel Awuah,de GER,DF,Energie Cottbus,2007,25,20,1842,20.5,0,0,0,0,0.00,0.00,74,78.7,20.5,20,85,16,5,27,0,1.36,23,39,-16,-0.78,-1.50
Andrew Awusi,de GER,FW,Eintracht Frankfurt,2006,6,6,424,4.7,0,0,0,0,0.00,0.00,71,19.6,4.7,6,71,1,0,,1,1.38,12,7,+5,+1.06,-0.23
Akram Ayadi,de GER,DF,Eintracht Frankfurt,2007,12,3,399,4.4,0,0,0,0,0.00,0.00,33,18.5,4.4,3,64,1,9,23,1,1.75,9,9,0,0.00,-1.53
Elyas Aydın,de GER,MF,Viktoria Köln,2006,24,24,2083,23.1,0,0,0,0,0.00,0.00,87,82.7,23.1,24,87,18,0,,0,1.63,46,38,+8,+0.35,-0.27
Pasa Aydoğan,de GER,MF,Hertha BSC,2008,9,6,543,6.0,1,1,0,0,0.17,0.17,60,25.1,6.0,6,80,2,3,21,1,1.22,15,12,+3,+0.50,+1.39
Mertcan Ayhan,tr TUR,DF,Schalke 04,2006,17,15,1343,14.9,4,4,0,0,0.27,0.27,79,62.2,14.9,15,85,12,2,34,0,2.05,30,12,+18,+1.21,-0.45
Younes El Ayouchi,de GER,MF,Sportfreunde Siegen,2006,10,4,392,4.4,0,0,0,0,0.00,0.00,39,31.1,4.4,4,63,1,6,24,0,1.50,6,18,-12,-2.76,-2.65
Luis Pereira de Azambuja,de GER,MF,1860 Munich,2006,18,9,870,9.7,3,3,0,0,0.31,0.31,48,40.3,9.7,9,67,2,9,30,0,1.11,22,18,+4,+0.41,+0.55
Armin Azimir,af AFG,FW,Stuttgarter Kickers,2008,1,0,2,0.0,0,0,0,0,0.00,0.00,2,0.1,0.0,0,,0,1,2,0,3.00,0,0,0,0.00,-0.21
Magnus Baars,de GER,MF,Magdeburg,2006,13,12,1070,11.9,13,9,4,4,1.09,0.76,82,45.7,11.9,12,87,11,1,22,0,1.31,37,28,+9,+0.76,-0.59
Luis Baasen Maldonado,pe PER,MF,Dresden,2008,1,0,16,0.2,0,0,0,0,0.00,0.00,16,0.7,0.2,0,,0,1,16,0,0.00,1,1,0,0.00,-1.01
Fedir Babak,ua UKR,MF,Paderborn 07,2006,25,22,1795,19.9,3,3,0,0,0.15,0.15,72,76.7,19.9,22,79,10,3,21,0,1.76,47,30,+17,+0.85,-0.63
Louis Babatz,de GER,GK,Mainz 05,2006,17,17,1530,17.0,0,0,0,0,0.00,0.00,90,70.8,17.0,17,90,17,0,,1,1.65,33,21,+12,+0.71,-0.29
Enes Babayiğit,de GER,FW,Rot-Weiß Oberhausen,2007,5,0,59,0.7,0,0,0,0,0.00,0.00,12,5.5,0.7,0,,0,5,12,1,0.20,0,3,-3,-4.58,-4.66
Nevio Backes,de GER,MF,Elversberg,2006,18,10,923,10.3,4,4,0,0,0.39,0.39,51,36.6,10.3,10,67,1,8,32,1,0.94,15,25,-10,-0.98,+0.38
Ole Backfisch,de GER,MF,BTSV,2006,26,25,2197,24.4,1,1,0,0,0.04,0.04,85,93.9,24.4,25,86,20,1,45,0,1.19,53,58,-5,-0.20,+2.94
Ols Backhaus,de GER,DF,St Pauli,2006,13,13,888,9.9,1,1,0,0,0.10,0.10,68,37.9,9.9,13,68,6,0,,0,1.23,17,18,-1,-0.10,+0.02
Eren Badem,de GER,MF,Viktoria Berlin,2008,1,0,24,0.3,0,0,0,0,0.00,0.00,24,2.2,0.3,0,,0,1,24,0,0.00,0,2,-2,-7.50,-7.41
Ahmad Badran,ps PLE,MF,Union Berlin,2007,9,1,201,2.2,0,0,0,0,0.00,0.00,22,9.3,2.2,1,55,0,8,18,0,1.44,2,5,-3,-1.34,-1.44
Josua von Baer,de GER,DF,Chemnitzer,2006,17,17,1517,16.9,2,2,0,0,0.12,0.12,89,70.2,16.9,17,89,15,0,,0,1.24,24,33,-9,-0.53,-0.25
Alassane Bah,de GER,MF,Carl Zeiss Jena,1999,23,16,1433,15.9,2,2,0,0,0.13,0.13,62,61.2,15.9,16,81,9,7,20,0,1.48,32,28,+4,+0.25,-0.74
Chernoh Bah,de GER,FW,Kickers Offenbach,2007,28,24,2099,23.3,2,2,0,0,0.09,0.09,75,83.3,23.3,24,82,14,4,34,0,0.71,35,64,-29,-1.24,+0.25
